ID,Centro,Orden,Clase de orden,Aviso,Plan mant.prev.,Fecha entrada,Fe.inic.extrema,Fe.inicio real,Fe.fin extrema,Fin real (hora),Pto.tbjo.resp.,Grupo planif.,Ubicac.técnica,Equipo,Texto breve,Status sistema,TotalCostesPlan,Cst.tot.reales
,0954,6576931,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177739,0954 TOMA DE POT CLORO DE TEHUANTEPEC,LIB. IMPR KKMP NLIQ PREC,1030.38,0
,0954,6576932,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177741,0954 TOMA DE POTENCIALES PLANTA ETILENO,LIB. IMPR KKMP NLIQ PREC,1030.38,0
,0954,6576933,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20187303,0954 TOMA POTENCIALES OXIDO DE ETILENO,LIB. IMPR KKMP NLIQ PREC,1030.38,0
,0954,6576934,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177742,0954 TOMA DE POTENCIALES SALES DEL ISTMO,LIB. IMPR KKMP NLIQ PREC,1030.38,0
,0954,6576935,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177743,0954 TOMA DE POTENCIALES IQUISA,LIB. IMPR KKMP NLIQ PREC,1030.38,0
,0954,6576936,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20187304,0954 TOMA DE POTENCIALES GAS DE CARGA,LIB. IMPR KKMP NLIQ PREC,1030.38,0
,0954,6576937,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177746,0954 TOMA DE POTENCIALES TROY,LIB. IMPR KKMP NLIQ PREC,2060.76,0
,0954,6576938,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177715,0954 TOMA POT GAS ANILLO PAJARITOS,LIB. IMPR KKMP NLIQ PREC,2060.76,0
,0954,6576939,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177715,"0954 TOMA POTGAS A CRIOGENICA 20""",LIB. IMPR KKMP NLIQ PREC,2060.76,0
,0954,6576967,M02,,60263,06/07/2014,23/07/2014,23/07/2014,23/07/2014,17:00:00,SCOR00,006,DVC-MI-033,,0954 TOMA DE POTENCIALES DDV 33,CERR NOTI IMPR KKMP NLIQ PREC,16486.08,17533.28
,0954,6576968,M02,,60326,06/07/2014,13/08/2014,13/08/2014,13/08/2014,17:00:00,SCOR00,006,DVC-MI-043,,0954 TOMA DE POTENCIALES DDV 43,CTEC NOTI IMPR KKMP NLIQ PREC,16486.08,17533.28
,0954,6576969,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,DVP-MI-174,,0954 TOMA POT INDUST QUIMIR (RESISTOL),ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6576970,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,DVP-MI-194,,0954 TOMA DE POT HOSPITAL NANCHITAL,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6576971,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,DVP-MI-192-INS01,,0954 TOMA DE POT CASETA CAMPO NANCHITAL,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6576972,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,DVP-MI-176,,0954 TOMA DE POT CELANESE CANGREJERA,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6576973,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177725,0954 TOMA DE POT CEN BOMBEO NVO TEAP,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6576974,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177738,0954 TOMA DE POT CPG CANGREJERA,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6576975,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,ERM30042,,0954 TOMA DE POT CPG MORELOS,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6576976,M02,,60160,06/07/2014,28/08/2014,,28/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177726,0954 TOMA DE POT CAMPO MOLOACAN,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6577933,M02,,60262,13/07/2014,27/08/2014,,27/08/2014,00:00:00,SCOR00,006,DVC-MI-029,,0954 TOMA DE POTENCIALES DDV 29,ABIE DMNV KKMP NLIQ PREC,16486.08,0
,0954,6577945,M02,,61166,13/07/2014,19/08/2014,,19/08/2014,00:00:00,SCOR00,006,ERM30035,,0954 TOMA DE POTENCIALES EST. POLIDUCTO,ABIE DMNV KKMP PREC,16486.08,0
,0954,6578354,M02,,,24/07/2014,24/07/2014,24/07/2014,24/07/2014,18:00:00,SCOR00,006,DUC-TR-GSD-D0012-TRM01,,INSTALACION DE POSTES R EN KM 8+000,CERR NOTI IMPR KKMP NLIQ PREC,16486.08,18056.88
,0954,6578687,M02,,51083,20/07/2014,21/07/2014,21/07/2014,21/07/2014,15:00:00,SSEG10,004,DVC-MI-033,,Recorrido Celaje Terrestre D.D.V. 33,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,4121.52
,0954,6578763,M02,,60259,20/07/2014,21/08/2014,,21/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177722,POTENCIALES SOLUCIONES QUIM P CAMPO,ABIE DMNV KKMP NLIQ PREC,4121.52,0
,0954,6578764,M02,,60259,20/07/2014,21/08/2014,,21/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177762,0954 TOMA DE POTENCIALES AMINIACO 1,ABIE DMNV KKMP NLIQ PREC,4121.52,0
,0954,6578765,M02,,60259,20/07/2014,21/08/2014,,21/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20187309,0954 TOMA POTENCIALES PPQ AMONIACO,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6578766,M02,,60259,20/07/2014,21/08/2014,,21/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20187310,0954 TOMA DE POTENCIALES TURBOS,ABIE DMNV KKMP NLIQ PREC,2060.76,0
,0954,6578767,M02,,60259,20/07/2014,21/08/2014,,21/08/2014,00:00:00,SCOR00,006,DVP-MI-179,,0954 TOMA DE POTENCIALES EASTMAN,ABIE DMNV KKMP NLIQ PREC,4121.52,0
,0954,6579435,M02,,51083,27/07/2014,05/08/2014,05/08/2014,05/08/2014,15:00:00,SSEG10,004,DVC-MI-033,,Recorrido Celaje Terrestre D.D.V. 33,CERR NOTI IMPR FCAP KKMP NLIQ PREC,7212.66,7727.85
,0954,6579469,M02,,55815,27/07/2014,11/08/2014,11/08/2014,13/08/2014,15:00:00,SRES00,004,DVC-MI-041,,"Verificacon de Anomalias TGN 12"" J-SC T4",CTEC NOTI IMPR KKMP NLIQ PREC,24729.12,24729.12
,0954,6579507,M02,,60260,27/07/2014,25/08/2014,,25/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20187307,0954 TOMA DE POTENCIALES  TEMEX,LIB. IMPR DMNV KKMP NLIQ PREC,8243.04,0
,0954,6579508,M02,,60260,27/07/2014,25/08/2014,,25/08/2014,00:00:00,SCOR00,006,DVP-MI-180,,0954 TOMA DE POTENCIALES FENOQUIMIA,LIB. IMPR DMNV KKMP NLIQ PREC,8243.04,0
,0954,6580271,M02,,60257,03/08/2014,29/08/2014,,29/08/2014,00:00:00,SCOR00,006,DVP-MI-188,,0954 TOMA DE POTENCIALES JALTIPAN,ABIE DMNV KKMP NLIQ PREC,8243.04,0
,0954,6580272,M02,,60257,03/08/2014,29/08/2014,,29/08/2014,00:00:00,SCOR00,006,ESC-CH-TUB,,0954 TOMA DE POTENCIALES CHINAMECA,ABIE DMNV KKMP NLIQ PREC,8243.04,0
,0954,6580307,M02,,60328,03/08/2014,29/08/2014,,29/08/2014,00:00:00,SCOR00,006,DVC-MI-047,,0954 TOMA DE POTENCIALES DDV 47,ABIE DMNV KKMP NLIQ PREC,16486.08,0
,0954,6581093,M02,,,18/08/2014,19/08/2014,,19/08/2014,00:00:00,SCOR00,006,DVC-MI-043-PC002,,REVISION DE CAMA ANODICA SPC TEMEX PPQ,LIB. IMPR KKMP NLIQ PREC,8243.04,0
,0954,6582163,M02,,51083,17/08/2014,19/08/2014,,19/08/2014,00:00:00,SSEG10,004,DVC-MI-033,,Recorrido Celaje Terrestre D.D.V. 33,ABIE DMNV KKMP PREC,4121.52,0
,0954,7772665,M01,,67727,22/09/2013,25/08/2014,,25/08/2014,00:00:00,SMED10,010,ERM30005,20041735,MANTTO. PSV-30005-01-1P ETILENO PAJARI,ABIE DMNV KKMP PREC,8243.04,0
,0954,7772666,M01,,67727,22/09/2013,25/08/2014,,25/08/2014,00:00:00,SMED10,010,ERM30005,20041736,MANTTO. PSV-30005-02-1P ETILENO PAJARI,ABIE DMNV KKMP PREC,8243.04,0
,0954,7772667,M01,,67727,22/09/2013,26/08/2014,,26/08/2014,00:00:00,SMED10,010,ERM30005,20041750,MANTTO. PSV-30005-03-1P ETILENO PAJARI,ABIE DMNV KKMP PREC,3091.14,0
,0954,7772668,M01,,67727,22/09/2013,27/08/2014,,27/08/2014,00:00:00,SMED10,010,ERM30005,20041751,MANTTO. PSV-30005-04-1P ETILENO PAJARI,ABIE DMNV KKMP PREC,3091.14,0
,0954,7783128,M01,,68135,17/11/2013,21/07/2014,21/07/2014,22/07/2014,15:00:00,SMED10,010,ERM30036,20117484,MANTTO. PSV-30036-PR-1P CPQ CANGREJERA,CERR NOTI IMPR FCAP KKMP NLIQ PREC,24729.12,26299.92
,0954,7783133,M01,,68135,17/11/2013,21/07/2014,21/07/2014,21/07/2014,11:00:00,SMED10,010,ERM30036,20117540,MANTTO. PSV-30036-SL1 CPQ CANGREJERA,CERR NOTI IMPR DMNV KKMP NLIQ PREC,4121.52,4121.52
,0954,7783134,M01,,68135,17/11/2013,21/07/2014,21/07/2014,21/07/2014,17:00:00,SMED10,010,ERM30036,20117541,MANTTO. PSV-30036-SL2 CPQ CANGREJERA,CERR NOTI IMPR DMNV KKMP NLIQ PREC,4121.52,4645.12
,0954,7788820,M01,,59081,22/12/2013,21/08/2014,,21/08/2014,00:00:00,STUB00,007,DUC-DI-GSD-REDMI-TRONC,20178713,954INTMANTTO V.T. CEDI  KM. 025.220,ABIE DMNV NLIQ PREC,21537.81,0
,0954,7796694,M01,,59013,02/02/2014,21/08/2014,,22/08/2014,00:00:00,STUB10,007,DUC-TR-GSD-D0001-TRM03-VS003,,954INTMANTTO V.S. MIR TONALA KM 91.93,ABIE DMNV NLIQ PREC,87064.58,0
,0954,7796714,M01,,59195,02/02/2014,28/08/2014,,29/08/2014,00:00:00,STUB10,007,DUC-TR-GSD-D0001-TRM04-TED01,,954INTMANTTO TED EST. 2 LAS CHOAPAS K,ABIE DMNV NLIQ PREC,65486.78,0
,0954,7800715,M01,,59196,23/02/2014,21/08/2014,,22/08/2014,00:00:00,STUB10,007,DUC-TR-GSD-D0001-TRM03-TRD02,,954INTMANTTO TRD  EST. 2 LAS CHOAPAS,ABIE DMNV NLIQ PREC,65486.78,0
,0954,7802235,M01,,59036,02/03/2014,07/07/2014,07/07/2014,08/07/2014,09:00:00,STUB00,007,DUC-TR-GSD-D0030-TRM01-VS153,,954INTMANTTO V.S. CANGREJERA  KM. 7.300,CERR NOTI IMPR MACO MOVM NLIQ PREC,13222.28,13222.29
,0954,7806207,M01,,59056,23/03/2014,01/07/2014,01/07/2014,03/07/2014,15:00:00,STUB00,007,DUC-TR-GSD-D0012-TRM01-TRD02,,954INTMANTTO  TRD EST.3  MINATITLAN,CERR NOTI IMPR MACO MOVM NLIQ PREC,63020.2,63020.2
,0954,7806209,M01,,59205,23/03/2014,15/08/2014,,18/08/2014,00:00:00,STUB10,007,DUC-TR-GLP-D0001-TRM04-VS407,,954INTMANTTO V.S. ZACATAL KM 183.988,ABIE DMNV NLIQ PREC,64319.47,0
,0954,7806216,M01,,59083,23/03/2014,22/07/2014,22/07/2014,22/07/2014,18:00:00,STUB00,007,DUC-TR-GSD-D0014-TRM02-TED01,,954INTMANTTO TED  EST.4  J.D. COVARRUBIA,CERR NOTI IMPR KKMP NLIQ PREC,20607.6,22571.1
,0954,7806391,M01,,70445,23/03/2014,10/07/2014,10/07/2014,10/07/2014,17:00:00,SMED10,010,DUC-DI-GSD-REDMI-RAMAL,20117662,0954PSV-PR00001-01-1P,CERR NOTI IMPR KKMP NLIQ PREC,8243.04,8766.64
,0954,7806392,M01,,70445,23/03/2014,11/07/2014,11/07/2014,11/07/2014,17:00:00,SMED10,010,DUC-DI-GSD-REDMI-RAMAL,20117662,0954PSV-PR00001-01-2P,CERR NOTI IMPR KKMP NLIQ PREC,8243.04,8766.64
,0954,7807558,M01,,70292,30/03/2014,19/08/2014,,19/08/2014,00:00:00,PQ_SGD10,004,DUC-TR-PQS-D0001-TRM04-VS541,,0959PQ_SGD10 VS MIR MALATENGO KM 146+109,ABIE DMNV KKMP PREC,4121.52,0
,0954,7807559,M01,,70293,30/03/2014,19/08/2014,,19/08/2014,00:00:00,PQ_SGD10,004,DUC-TR-PQS-D0001-TRM04-VS542,,0959PQ_SGD10 VS MDR MALATENGO KM 148+405,ABIE DMNV KKMP PREC,4121.52,0
,0954,7808604,M01,,59207,06/04/2014,07/08/2014,,08/08/2014,00:00:00,STUB10,007,DUC-TR-GLP-D0001-TRM04-VS408,,954INTMANTTO V.S. COLONIA HIDALGO KM,ABIE DMNV NLIQ PREC,64319.47,0
,0954,7808613,M01,,58999,06/04/2014,01/07/2014,01/07/2014,02/07/2014,17:00:00,STUB00,007,DUC-TR-GSD-D0037-TRM01-VS232,,954INTMANTTO  GN20 VS MIR TONALA KM6.024,CERR NOTI IMPR MACO MOVM NLIQ PREC,43462.14,44771.14
